,f1,f2,f3,f4,o
0,5,3.4,1.5,0.2,Iris-setosa
1,5.718742367,2.193493416,1.4,0.1,Iris-setosa
2,5.1,3.7,4.00458202,0.4,Iris-setosa
3,4.8,2.349668211,1.6,1.854973797,Iris-setosa
4,5.5,4.2,1.4,0.2,Iris-setosa
5,5.1,3.4,1.5,0.2,Iris-setosa
6,4.8,3,6.118155489,0.3,Iris-setosa
7,5.976282528,3.2,1.4,0.2,Iris-setosa
8,5.3,3.7,6.825542522,0.178510005,Iris-setosa
9,4.995026641,2.259580359,4,1.3,Iris-versicolor
10,6.3,3.3,4.7,1.6,Iris-versicolor
11,4.9,2.4,3.3,1.913914311,Iris-versicolor
12,6,2.752063684,4,1,Iris-versicolor
13,6.1,2.060896981,5.204390208,0.832580227,Iris-versicolor
14,6.1,3.994336893,4.7,1.2,Iris-versicolor
15,6.4,2.9,4.3,0.404812438,Iris-versicolor
16,6.94792771,2.6,3.5,1,Iris-versicolor
17,5.5,2.4,3.7,1,Iris-versicolor
18,6.7,3.1,4.7,1.5,Iris-versicolor
19,6.985314439,3,3.546970878,2.2,Iris-virginica
20,7.3,2.9,1.328656245,1.8,Iris-virginica
21,6.5,3.2,5.1,2,Iris-virginica
22,6.7,3.3,5.7,2.1,Iris-virginica
23,6.790276261,3.2,6,1.8,Iris-virginica
24,6.3,2.8,5.1,1.5,Iris-virginica
25,6.5,3,5.2,2,Iris-virginica
26,6.2,3.4,5.4,2.383715033,Iris-virginica
27,5.9,3,5.1,1.8,Iris-virginica
28,4.7,3.2,1.3,0.2,Iris-setosa
29,6.9,3.2,5.7,2.3,Iris-virginica
30,5.1,3.5,1.4,2.18879053,Iris-setosa
31,4.6,4.193977665,1.5,0.2,Iris-setosa
32,4.4,2.9,1.4,0.2,Iris-setosa
33,5.4,3.4,1.7,0.2,Iris-setosa
34,4.6,3.6,1,0.171251139,Iris-setosa
35,4.728494735,3.4,1.6,0.4,Iris-setosa
36,6.917580997,3.2,1.6,0.2,Iris-setosa
37,5.4,3.4,2.242001738,0.4,Iris-setosa
38,5,3.242567462,1.4,0.2,Iris-setosa
39,7,4.222314304,4.7,1.4,Iris-versicolor
40,6.4,3.2,4.5,1.5,Iris-versicolor
