309,904
100,730
876,951
224,796
283,622
314,689
487,617
146,324
225,617
139,284
163,678
521,386
332,864
313,622
5,469
183,741
196,976
306,582
383,802
498,752
556,730
936,197
822,849
552,988
533,746
725,916
431,469
100,864
169,469
213,741
584,684
877,906
165,700
588,803
54,869
582,988
889,916
493,916
218,711
639,741
102,536
215,413
349,413
49,875
183,875
558,752
329,700
521,870
115,182
276,285
634,747
419,593
498,886
102,886
229,469
344,419
349,763
3,126
132,536
285,778
379,413
117,413
898,978
213,875
631,634
873,921
207,306
699,768
298,424
14,665
776,988
17,182
132,886
550,645
715,712
379,763
527,661
112,419
117,763
530,932
544,830
678,830
777,809
414,757
245,948
845,943
215,547
564,701
32,840
558,886
142,419
180,711
276,419
50,830
119,435
573,605
215,897
671,948
275,948
349,897
435,671
844,876
168,327
324,840
425,892
1,564
298,558
325,661
283,435
701,948
742,949
379,897
117,897
544,964
165,379
851,892
301,425
182,733
102,215
327,333
313,435
332,677
598,796
312,964
749,965
329,379
334,723
424,616
195,564
132,215
100,677
802,949
876,898
366,796
457,914
168,811
14,344
487,564
165,513
225,564
832,976
599,216
584,847
314,986
102,349
181,642
332,811
329,513
81,411
573,873
311,873
424,750
162,750
611,576
597,678
5,766
115,934
426,796
132,349
206,298
665,812
255,914
100,811
141,812
20,293
892,976
630,976
284,339
132,699
431,766
21,868
169,766
356,592
796,864
171,812
410,828
239,946
849,875
109,873
183,822
558,699
310,597
750,869
488,869
562,818
288,57
386,592
451,987
597,812
327,951
173,484
154,242
329,997
538,582
213,822
501,700
592,818
229,766
726,818
757,885
490,541
206,782
550,592
759,177
544,777
492,587
356,726
342,828
568,582
182,546
283,598
622,818
186,665
948,988
332,490
139,849
125,951
562,952
634,828
675,829
386,726
102,967
50,777
215,844
232,259
311,552
349,844
536,670
140,670
728,840
313,598
387,547
425,839
689,885
804,835
35,95
100,490
592,952
490,675
379,844
117,844
249,963
390,444
68,393
147,686
496,840
169,445
224,906
298,855
642,665
302,974
622,952
811,851
102,162
487,727
957,676
547,778
5,229
698,947
32,332
598,743
109,552
183,501
269,275
348,568
141,275
388,906
327,630
46,388
115,747
132,162
307,917
324,332
329,676
119,866
213,501
138,327
171,275
556,840
630,789
229,445
533,856
530,558
347,851
493,676
873,897
283,866
314,933
811,985
50,106
186,933
487,861
165,810
146,568
225,861
201,275
310,410
86,702
218,821
562,631
639,851
313,866
5,713
445,985
426,743
329,810
766,811
153,584
727,856
419,703
501,513
592,631
75,112
431,713
21,815
169,713
213,985
796,811
493,810
584,928
430,461
622,631
393,579
310,544
235,370
713,934
386,539
413,642
119,195
564,811
5,847
426,877
766,945
76,498
115,426
617,822
340,544
689,698
782,889
100,303
229,713
666,714
757,832
743,934
844,986
346,709
21,949
645,776
323,725
796,945
106,498
138,945
207,550
279,426
17,426
449,837
550,889
182,493
183,314
675,776
312,724
413,776
50,724
826,945
564,945
677,822
140,617
46,201
670,782
703,730
573,849
213,314
383,725
37,88
138,140
207,684
298,802
75,730
168,921
218,284
245,387
186,746
547,725
698,894
32,279
49,448
218,634
256,926
181,752
594,921
275,387
445,798
426,556
183,798
670,916
381,813
408,916
306,639
206,408
288,972
496,921
57,285
100,921
549,747
898,901
213,798
3,988
75,864
207,229
584,741
165,757
239,706
431,876
68,824
169,876
546,634
87,285
221,285
639,798
713,747
429,988
102,593
864,916
32,763
445,932
183,932
329,757
76,311
180,634
276,342
138,408
349,820
3,183
743,747
132,593
324,763
747,866
76,661
57,419
112,126
213,932
106,311
133,414
873,978
229,876
726,928
206,892
182,306
187,650
283,358
314,425
379,820
107,132
544,887
750,763
106,661
87,419
488,763
235,317
221,419
163,414
32,897
830,877
313,358
194,666
180,768
312,887
383,538
844,933
195,487
324,897
425,949
138,892
225,487
791,898
469,847
851,949
54,605
133,898
109,312
207,847
236,87
369,616
140,564
332,734
5,339
334,780
573,796
163,898
311,796
400,87
443,723
498,622
46,498
206,221
119,976
169,339
339,750
89,575
75,677
870,386
924,622
170,914
230,965
431,689
414,493
567,735
283,976
64,114
107,750
181,699
146,678
215,283
676,678
558,622
711,864
153,344
498,756
138,221
229,339
313,976
671,684
665,869
141,869
117,283
741,864
229,689
726,741
54,873
544,700
678,700
171,869
245,818
410,885
146,812
163,227
618,807
692,756
728,413
733,757
115,186
562,875
221,582
597,869
671,818
275,818
435,541
536,593
539,864
153,828
815,947
419,947
501,757
207,310
513,582
592,875
251,582
284,530
339,429
726,875
490,598
206,839
209,356
527,665
645,886
631,988
342,885
245,952
298,778
279,536
413,536
17,536
418,880
886,948
622,875
61,84
107,429
332,547
827,526
634,885
675,886
348,491
413,886
215,901
275,952
349,901
724,778
536,727
140,727
916,948
76,742
46,311
115,670
552,671
285,327
703,840
496,547
100,547
138,839
325,665
839,886
75,490
379,901
117,901
165,383
593,830
684,948
818,948
106,742
54,552
582,671
605,840
209,840
283,789
314,856
186,856
869,886
445,558
183,558
670,676
329,383
408,676
141,332
573,743
311,743
864,892
313,789
46,445
725,733
329,733
21,388
213,558
171,332
556,897
360,985
588,620
